Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes,Source,
478,Mauritania,2015,Capital city population (as a percentage of total urban population),Nouakchott,,49.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
478,Mauritania,2018,Urban population (percent),,,53.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
478,Mauritania,2018,Capital city population (thousands),Nouakchott,,1205,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2005,Urban population (percent),,,42.1,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2005,Urban population (percent growth rate per annum),,,0.3,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2005,Rural population (percent growth rate per annum),,,0.8,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2010,Urban population (percent),,,41.6,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2010,Urban population (percent growth rate per annum),,,0.2,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2010,Rural population (percent growth rate per annum),,,0.6,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2015,Urban population (percent),,,41,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2015,Urban population (percent growth rate per annum),,,-0.1,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2015,Rural population (percent growth rate per annum),,,0.4,"Including Agalega, Rodrigues and Saint Brandon.;Data refers to a 5-year period preceding the reference year.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2018,Urban population (percent),,,40.8,"Including Agalega, Rodrigues and Saint Brandon.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
480,Mauritius,2018,Capital city population (thousands),Port Louis,,149,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2005,Urban population (percent),,,50.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2005,Urban population (percent growth rate per annum),,,4.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2005,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2010,Urban population (percent),,,49,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2010,Urban population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2010,Rural population (percent growth rate per annum),,,3.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2015,Urban population (percent),,,47,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2015,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2015,Rural population (percent growth rate per annum),,,3.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2018,Urban population (percent),,,46.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
175,Mayotte,2018,Capital city population (thousands),Mamoudzou,,6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2005,Urban population (percent),,,76.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2005,Capital city population (thousands),Mexico City,,19276,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2005,Capital city population (as a percentage of total population),Mexico City,,17.8,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2005,Capital city population (as a percentage of total urban population),Mexico City,,23.3,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2010,Urban population (percent),,,77.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2010,Urban population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2010,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2010,Capital city population (thousands),Mexico City,,20137,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2010,Capital city population (as a percentage of total population),Mexico City,,17.2,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2010,Capital city population (as a percentage of total urban population),Mexico City,,22.1,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2015,Urban population (percent),,,79.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2015,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2015,Capital city population (thousands),Mexico City,,21340,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2015,Capital city population (as a percentage of total population),Mexico City,,17,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2015,Capital city population (as a percentage of total urban population),Mexico City,,21.4,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2018,Urban population (percent),,,80.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
484,Mexico,2018,Capital city population (thousands),Mexico City,,21581,Refers to the total population in 76 municipalities of the Metropolitan Area of Mexico City.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2005,Urban population (percent),,,22.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2005,Urban population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2010,Urban population (percent),,,22.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2010,Urban population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2010,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2015,Urban population (percent),,,22.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2015,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2015,Rural population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2018,Urban population (percent),,,22.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
583,Micronesia (Fed. States of),2018,Capital city population (thousands),Palikir,,7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2005,Urban population (percent),,,100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2005,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2010,Urban population (percent),,,100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2010,Urban population (percent growth rate per annum),,,1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2015,Urban population (percent),,,100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2018,Urban population (percent),,,100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
492,Monaco,2018,Capital city population (thousands),Monaco,,39,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2005,Urban population (percent),,,62.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2005,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2005,Rural population (percent growth rate per annum),,,-1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2005,Capital city population (thousands),Ulaanbaatar,,933,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2005,Capital city population (as a percentage of total population),Ulaanbaatar,,36.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2005,Capital city population (as a percentage of total urban population),Ulaanbaatar,,59.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2010,Urban population (percent),,,67.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2010,Urban population (percent growth rate per annum),,,3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2010,Rural population (percent growth rate per annum),,,-1.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2010,Capital city population (thousands),Ulaanbaatar,,1138,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2010,Capital city population (as a percentage of total population),Ulaanbaatar,,41.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2010,Capital city population (as a percentage of total urban population),Ulaanbaatar,,62.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2015,Urban population (percent),,,68.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2015,Urban population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2015,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2015,Capital city population (thousands),Ulaanbaatar,,1365,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2015,Capital city population (as a percentage of total population),Ulaanbaatar,,45.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2015,Capital city population (as a percentage of total urban population),Ulaanbaatar,,67.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2018,Urban population (percent),,,68.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
496,Mongolia,2018,Capital city population (thousands),Ulaanbaatar,,1520,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2005,Urban population (percent),,,62.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2005,Urban population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2005,Rural population (percent growth rate per annum),,,-1.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2010,Urban population (percent),,,64.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2010,Urban population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2010,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2015,Urban population (percent),,,65.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2015,Urban population (percent growth rate per annum),,,0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2015,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2018,Urban population (percent),,,66.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
499,Montenegro,2018,Capital city population (thousands),Podgorica,,177,Refers to the urban population of Podgorica municipality.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2005,Urban population (percent),,,9.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2005,Urban population (percent growth rate per annum),,,29.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2005,Rural population (percent growth rate per annum),,,-2.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2010,Urban population (percent),,,9.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2010,Urban population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2010,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2015,Urban population (percent),,,9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2015,Urban population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2015,Rural population (percent growth rate per annum),,,0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2018,Urban population (percent),,,9.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
500,Montserrat,2018,Capital city population (thousands),Brades Estate,,0,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2005,Urban population (percent),,,55.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2005,Urban population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2005,Rural population (percent growth rate per annum),,,0.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2005,Capital city population (thousands),Rabat,,1635,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2005,Capital city population (as a percentage of total population),Rabat,,5.4,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2005,Capital city population (as a percentage of total urban population),Rabat,,9.7,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2010,Urban population (percent),,,58,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2010,Urban population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2010,Rural population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2010,Capital city population (thousands),Rabat,,1714,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2010,Capital city population (as a percentage of total population),Rabat,,5.3,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2010,Capital city population (as a percentage of total urban population),Rabat,,9.1,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2015,Urban population (percent),,,60.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2015,Urban population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2015,Capital city population (thousands),Rabat,,1796,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2015,Capital city population (as a percentage of total population),Rabat,,5.2,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2015,Capital city population (as a percentage of total urban population),Rabat,,8.5,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2018,Urban population (percent),,,62.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
504,Morocco,2018,Capital city population (thousands),Rabat,,1847,Including Sal� and Temara.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2005,Urban population (percent),,,30,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2005,Urban population (percent growth rate per annum),,,3.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2005,Rural population (percent growth rate per annum),,,2.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2005,Capital city population (thousands),Maputo,,1072,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2005,Capital city population (as a percentage of total population),Maputo,,5.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2005,Capital city population (as a percentage of total urban population),Maputo,,17.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2010,Urban population (percent),,,31.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2010,Urban population (percent growth rate per annum),,,4.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2010,Rural population (percent growth rate per annum),,,2.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2010,Capital city population (thousands),Maputo,,1097,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2010,Capital city population (as a percentage of total population),Maputo,,4.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2010,Capital city population (as a percentage of total urban population),Maputo,,14.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2015,Urban population (percent),,,34.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2015,Urban population (percent growth rate per annum),,,4.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2015,Rural population (percent growth rate per annum),,,2.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2015,Capital city population (thousands),Maputo,,1100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2015,Capital city population (as a percentage of total population),Maputo,,3.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2015,Capital city population (as a percentage of total urban population),Maputo,,11.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2018,Urban population (percent),,,36,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
508,Mozambique,2018,Capital city population (thousands),Maputo,,1102,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2005,Urban population (percent),,,27.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2005,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2005,Rural population (percent growth rate per annum),,,0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2005,Capital city population (thousands),Nay Pyi Taw,,148,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2005,Capital city population (as a percentage of total population),Nay Pyi Taw,,0.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2005,Capital city population (as a percentage of total urban population),Nay Pyi Taw,,1.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2010,Urban population (percent),,,28.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2010,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
104,Myanmar,2010,Rural population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
